count,mean,std,min,25%,50%,75%,max
402.0,140.43283582089552,192.62938901589317,0.0,24.25,66.0,184.25,1485.0
388.0,322.569587628866,334.3301186252662,0.0,43.5,153.0,582.25,1239.0
401.0,292.2493765586035,240.08888490694514,0.0,132.0,217.0,410.0,1133.0
395.0,30.40506329113924,44.645165888841525,0.0,0.0,15.0,45.0,299.0
377.0,59.180371352785144,65.87366484471997,0.0,7.0,42.0,82.0,355.0
0.0,,,,,,,
384.0,2.9583333333333335,9.17559103514386,-1.0,0.0,0.0,1.0,82.0
394.0,5961.47461928934,4638.815636510283,0.0,1022.5,5941.5,9247.25,18326.0
396.0,486.4621212121212,539.7445397424767,0.0,138.0,307.5,593.75,2476.0
431.0,68.03248259860788,123.77930045648513,0.0,7.0,14.0,47.0,716.0
401.0,1362.1670822942644,1745.29967183682,0.0,84.0,662.0,2085.0,9586.0
396.0,660.8914141414141,1041.8544157521715,0.0,109.5,231.5,585.0,4451.0
381.0,23.93438320209974,39.322330590968356,0.0,0.0,5.0,35.0,310.0
402.0,359.31592039800995,233.38220596292965,0.0,176.5,345.0,522.75,1027.0
389.0,1571.452442159383,1103.8012067609163,0.0,602.0,1499.0,2293.0,5358.0
380.0,9.610526315789473,24.84879646457936,0.0,0.0,1.0,5.0,207.0
398.0,808.5603015075377,631.9187885295341,0.0,187.5,820.0,1270.5,1975.0
422.0,2091.120853080569,3310.6638643766805,0.0,243.5,951.0,2582.75,23921.0
374.0,33.3048128342246,87.01889184019895,0.0,0.0,7.0,43.0,1382.0
381.0,18.635170603674542,60.47531659832944,-209.0,0.0,0.0,10.0,637.0
0.0,,,,,,,
391.0,2.2327365728900257,5.740950732455343,0.0,0.0,0.0,2.0,57.0
386.0,705.7279792746114,635.1180285806047,0.0,139.75,605.0,1081.0,2866.0
392.0,432.71938775510205,567.7609884284145,0.0,23.75,253.0,586.25,3755.0
367.0,108.57765667574932,304.94093102104245,0.0,0.0,0.0,1.0,2356.0
400.0,31871.8675,23431.30384912712,0.0,13203.75,28784.5,49439.25,100158.0
388.0,0.5463917525773195,2.111959882149234,0.0,0.0,0.0,0.0,26.0
389.0,880.8046272493573,1269.7135292132602,0.0,53.0,211.0,1079.0,5176.0
387.0,32.86046511627907,53.227502365537106,0.0,2.0,13.0,31.0,315.0
366.0,7.6775956284153,14.870394996564281,0.0,0.0,1.0,7.75,101.0
430.0,5.674418604651163,20.317664791381528,0.0,0.0,0.0,2.0,180.0
391.0,121.9156010230179,472.3741189387531,0.0,0.0,0.0,77.5,7047.0
431.0,2294.218097447796,2416.8046199325945,0.0,375.0,1277.0,3591.0,16141.0
377.0,46.3395225464191,34.63481756945328,0.0,18.0,42.0,72.0,191.0
0.0,,,,,,,
382.0,13.510471204188482,34.006231408089434,0.0,0.0,0.0,6.0,216.0
378.0,11.992063492063492,15.08481557668819,0.0,1.0,6.0,17.0,91.0
403.0,2470.317617866005,1930.966249080198,0.0,1358.0,1900.0,3667.0,13990.0
